#SampleID	1_f
SMIC.003.01.Day.02	-0.976925584223
SMIC.004.01.Day.02	-0.976925584223
SMIC.005.01.Day.02	-1.20980805188
SMIC.006.01.Day.02	-1.36085901095
SMIC.006.02.Day.02	-1.71530212862
SMIC.007.01.Day.02	-1.20980805188
SMIC.008.02.Day.02	-0.976925584223
SMIC.008.03.Day.02	0.894483708062
SMIC.009.01.Day.02	-2.5059527075
SMIC.009.04.Day.02	0.487766555901
SMIC.009.05.Day.02	0.487766555901
SMIC.011.01.Day.02	0.168168112332
SMIC.012.01.Day.02	-1.09574109172
SMIC.013.01.Day.02	-0.976925584223
SMIC.014.02.Day.02	-1.45824764072
SMIC.014.03.Day.02	-1.45824764072
SMIC.016.01.Day.02	-1.20980805188
SMIC.016.02.Day.02	-1.20980805188
SMIC.017.01.Day.02	-0.976925584223
SMIC.018.01.Day.02	-1.97690082562
SMIC.020.01.Day.02	-0.976925584223
SMIC.021.03.Day.02	0.894483708062
SMIC.022.01.Day.02	-1.97690082562
SMIC.022.02.Day.02	-0.831807129059
SMIC.022.03.Day.02	-1.20980805188
SMIC.023.01.Day.02	-0.831807129059
SMIC.024.01.Day.02	0.168168112332
SMIC.026.01.Day.02	-1.71530212862
SMIC.026.02.Day.02	-0.976925584223
SMIC.028.02.Day.02	-1.97690082562
SMIC.029.01.Day.02	-1.45824764072
SMIC.029.02.Day.02	-1.71530212862
SMIC.029.03.Day.02	-0.250609988494
SMIC.030.01.Day.02	0.168168112332
SMIC.030.02.Day.02	-2.5059527075
SMIC.030.04.Day.02	0.00644449940207
SMIC.031.01.Day.02	-1.97690082562
SMIC.031.03.Day.02	0.254884088245
SMIC.031.04.Day.02	0.00644449940207
SMIC.033.01.Day.02	0.168168112332
SMIC.033.02.Day.02	-1.71530212862
SMIC.034.01.Day.02	-1.20980805188
SMIC.035.01.Day.02	-1.71530212862
SMIC.035.02.Day.02	-1.71530212862
SMIC.035.03.Day.02	-0.313153944167
SMIC.036.01.Day.02	-1.45824764072
SMIC.036.03.Day.02	-2.24083478828
SMIC.037.01.Day.02	-2.24083478828
SMIC.037.02.Day.02	-0.976925584223
SMIC.039.01.Day.02	0.487766555901
SMIC.040.01.Day.02	-1.71530212862
SMIC.041.01.Day.02	-1.71530212862
SMIC.042.01.Day.02	-1.97690082562
SMIC.043.02.Day.02	0.487766555901
SMIC.044.02.Day.02	-1.97690082562
SMIC.048.01.Day.02	-0.976925584223
SMIC.048.02.Day.02	-1.71530212862
SMIC.048.03.Day.02	-1.04126056738
SMIC.050.01.Day.02	-2.24083478828
SMIC.055.01.Day.02	-2.24083478828
SMIC.056.01.Day.02	-3.03767991329
SMIC.059.01.Day.02	-1.97690082562
SMIC.061.01.Day.02	-1.97690082562
SMIC.062.02.Day.02	-0.976925584223
SMIC.064.01.Day.02	-1.62657305857
SMIC.070.01.Day.02	-0.976925584223
SMIC.071.01.Day.02	-1.45824764072
SMIC.071.03.Day.02	0.168168112332
SMIC.072.01.Day.02	-0.976925584223
SMIC.073.01.Day.02	-0.976925584223
SMIC.073.02.Day.02	1.63286025246
SMIC.074.01.Day.02	0.168168112332
SMIC.074.02.Day.02	-1.45824764072
SMIC.075.01.Day.02	-0.976925584223
SMIC.082.01.Day.02	-0.313153944167
SMIC.084.01.Day.02	-0.313153944167
